,budget,genre,gross,name,runtime,score,votes,Profit
261,6500000,Biography,54215416,La Bamba,108,6.8,22839,47715416
262,5000000,Action,3369307,Near Dark,94,7.0,27485,-1630693
263,0,Drama,3210139,Wings of Desire,128,8.1,51522,3210139
264,0,Crime,12396383,Less Than Zero,98,6.4,15500,12396383
265,15000000,Action,35509515,No Way Out,114,7.1,28684,20509515
266,0,Comedy,32945797,*batteries not included,106,6.6,25330,32945797
267,0,Comedy,26712476,Baby Boom,110,6.1,11414,26712476
268,0,Comedy,1544889,Withnail & I,107,7.8,33285,1544889
269,0,Drama,15151736,Flowers in the Attic,93,5.7,7993,15151736
270,20000000,Comedy,51249404,Broadcast News,133,7.2,22802,31249404
271,2500000,Fantasy,13539458,Túnel al infierno,85,6.0,11435,11039458
272,17000000,Action,15681020,Superman IV: The Quest for Peace,90,3.6,35866,-1318980
273,3500000,Comedy,14000000,Creepshow 2,92,6.0,17500,10500000
274,3000000,Comedy,7888703,Teen Wolf Too,95,3.2,8905,4888703
275,12000000,Comedy,40050884,Roxanne,107,6.6,34794,28050884
276,12000000,Comedy,66995879,The Secret of My Succe$s,111,6.5,24685,54995879
277,20000000,Comedy,57387516,Dragnet,106,5.9,27387,37387516
278,0,Comedy,124167,"Rita, Sue and Bob Too",93,6.4,2747,124167
279,18000000,Comedy,39321715,Blind Date,95,5.9,17903,21321715
280,0,Comedy,7800000,House II: The Second Story,88,5.4,8302,7800000
281,0,Comedy,28061343,Police Academy 4: Citizens on Patrol,88,4.8,33955,28061343
282,1000000,Adventure,1576615,The Garbage Pail Kids Movie,100,2.7,6348,576615
283,14000000,Comedy,57915972,Throw Momma from the Train,88,6.2,28550,43915972
284,0,Horror,2488740,The Stepfather,89,6.8,9959,2488740
285,0,Action,9747988,The Hidden,96,7.0,13878,9747988
286,0,Comedy,548696,Amazon Women on the Moon,85,6.2,8755,548696
287,3000000,Comedy,3221568,Barfly,100,7.3,15647,221568
288,6000000,Comedy,3685862,Three O'Clock High,97,7.2,8970,-2314138
289,0,Comedy,4398938,Babette's Feast,102,7.8,14838,4398938
290,0,Crime,18753438,The Believers,114,6.1,4900,18753438
291,15000000,Comedy,13290368,The Pick-up Artist,81,5.2,5348,-1709632
292,16000000,Comedy,14792779,Radio Days,88,7.6,26467,-1207221
293,0,Comedy,1028679,Aria,90,5.8,2243,1028679
294,3000000,Comedy,23509382,Ernest Goes to Camp,92,5.5,9526,20509382
295,0,Drama,4542825,Au Revoir les Enfants,104,8.0,25969,4542825
296,17000000,Crime,10278549,Someone to Watch Over Me,106,6.1,7854,-6721451
297,0,Comedy,7305209,Who's That Girl,92,4.7,8125,7305209
298,29000000,Biography,5899797,Cry Freedom,157,7.5,10692,-23100203
299,6000000,Thriller,12423831,The Fourth Protocol,119,6.5,7532,6423831
300,27000000,Drama,7393346,Ironweed,143,6.8,6874,-19606654
301,0,Crime,25205460,Black Widow,102,6.3,7132,25205460
302,0,Action,65673233,Stakeout,117,6.6,20039,65673233
303,0,Comedy,34377585,Like Father Like Son,96,5.1,4817,34377585
304,0,Comedy,3587303,Bagdad Cafe,95,7.5,10255,3587303
305,0,Drama,769119,Shy People,100,6.9,940,769119
306,0,Comedy,30063289,Revenge of the Nerds II: Nerds in Paradise,88,4.9,11444,30063289
307,0,Horror,2683519,Prom Night II,97,5.6,3440,2683519
308,5000000,Action,6880310,Death Wish 4: The Crackdown,99,5.3,6770,1880310
309,18000000,Comedy,18532286,Project X,108,6.1,8879,532286
310,0,Action,3832228,North Shore,96,6.5,1903,3832228
311,0,Action,519596,Man on Fire,87,5.9,1340,519596
312,4000000,Fantasy,800000,The Barbarians,87,4.9,2538,-3200000
313,55000000,Action,14375181,Ishtar,107,4.2,9094,-40624819
314,100000,Comedy,5228617,Hollywood Shuffle,78,7.0,3009,5128617
315,0,Comedy,1749956,Hunk,102,4.6,1042,1749956
316,0,Crime,2585639,House of Games,102,7.3,17508,2585639
317,0,Crime,2877571,No Man's Land,100,6.1,3297,2877571
318,0,Sci-Fi,1930001,The Curse,92,4.9,1762,1930001
319,0,Crime,18782400,Suspect,121,6.6,7506,18782400
320,0,Action,19734940,The Principal,109,6.2,7311,19734940
321,0,Comedy,10021120,Hope and Glory,113,7.4,10291,10021120
322,0,Comedy,52864741,Outrageous Fortune,99,6.1,6123,52864741
323,22000000,Action,11307844,Extreme Prejudice,96,6.6,4924,-10692156
324,350000,Action,4000000,American Ninja 2: The Confrontation,90,4.8,6565,3650000
325,4000000,Drama,1680358,Matewan,135,7.9,6198,-2319642
326,0,Drama,1539000,Three for the Road,88,5.3,813,1539000
327,24000000,Action,4916871,Leonard Part 6,85,2.2,7387,-19083129
328,5000000,Crime,1119112,Street Smart,97,6.4,2096,-3880888
329,0,Biography,1654743,Prick Up Your Ears,105,7.4,4799,1654743
330,9000000,Action,5406879,The Sicilian,115,5.3,3889,-3593121
331,0,Comedy,17355263,Born in East L.A.,85,5.9,4648,17355263
332,0,Drama,10489617,Light of Day,107,5.5,2101,10489617
333,0,Drama,2053931,Pelle the Conqueror,157,7.9,8321,2053931
334,0,Comedy,1189709,Return to Horror High,95,4.2,2337,1189709
335,0,Comedy,13110903,Back to the Beach,92,5.8,2332,13110903
336,0,Horror,1149470,Nightflyers,89,4.0,796,1149470
337,0,Action,12046526,Fatal Beauty,104,5.3,2652,12046526
338,0,Adventure,300859,White Water Summer,90,6.2,4353,300859
339,0,Drama,1338198,The Whales of August,90,7.6,3416,1338198
340,7000000,Comedy,7019441,Hiding Out,98,6.4,2584,19441
341,0,Comedy,174380,My Best Friend Is a Vampire,89,6.1,2690,174380
342,10000000,Action,3060858,Malone,92,5.6,1959,-6939142
343,0,Comedy,4215859,Hot Pursuit,93,5.8,2768,4215859
344,0,Action,873903,Real Men,85,6.2,3077,873903
345,6000000,Action,1432687,A Prayer for the Dying,107,6.4,3731,-4567313
346,0,Drama,5262047,Gardens of Stone,111,6.4,4273,5262047
347,0,Action,7555000,Wanted: Dead or Alive,106,5.9,3328,7555000
348,0,Animation,6804312,The Chipmunk Adventure,100,7.2,4383,6804312
349,0,Horror,2407024,The Kindred,91,5.5,1211,2407024
350,0,Comedy,4572845,Made in Heaven,100,6.5,2691,4572845
351,0,Crime,5715174,Wisdom,109,5.7,2659,5715174
352,5300000,Crime,3107551,White Mischief,107,6.3,2171,-2192449
353,10000000,Drama,486434,September,83,6.7,7620,-9513566
354,0,Drama,4370078,The Dead,83,7.4,5933,4370078
355,3520000,Action,562187,Steel Dawn,100,5.0,3860,-2957813
356,1300000,Crime,354704,Prison,102,5.9,3019,-945296
357,25000000,Drama,30950002,Nuts,116,6.7,4996,5950002
358,11000000,Comedy,25411386,Tin Men,112,6.5,6960,14411386
359,0,Drama,760000,The Hanoi Hilton,125,6.0,763,760000
360,7500000,Drama,796368,Rampage,97,6.3,1625,-6703632
361,0,Drama,1733017,The Big Town,109,5.9,1483,1733017
362,0,Comedy,3283832,Wish You Were Here,88,6.8,2212,3283832
363,0,Comedy,2700000,The Allnighter,108,4.0,904,2700000
364,0,Drama,287725,The Belly of an Architect,119,7.0,4517,287725
365,0,Action,4278150,Best Seller,95,6.5,3752,4278150
366,0,Drama,700000,Siesta,100,5.6,1844,700000
367,0,Drama,316199,Promised Land,102,5.7,1052,316199
368,0,Crime,12640385,The Bedroom Window,112,6.4,3650,12640385
369,0,Comedy,2201428,Dark Eyes,117,7.6,2421,2201428
370,3000000,Fantasy,9868521,Maid to Order,93,5.5,2786,6868521
371,0,Drama,225358,Square Dance,112,6.1,730,225358
372,1000000,Action,210200,Straight to Hell,100,5.8,1924,-789800
373,0,Comedy,16337355,Burglar,103,5.0,3453,16337355
374,0,Comedy,999382,In the Mood,98,6.1,778,999382
375,0,Biography,1083486,84 Charing Cross Road,100,7.5,6285,1083486
376,100000,Horror,154323,"Silent Night, Deadly Night 2",88,3.5,4329,54323
377,0,Crime,969205,Five Corners,90,6.3,2584,969205
378,8000000,Comedy,1988962,Date with an Angel,105,5.8,2163,-6011038
379,5800000,Biography,257043,Walker,94,6.6,2684,-5542957
380,0,Adventure,626724,Deadly Illusion,87,4.7,233,626724
381,0,Mystery,406881,Slam Dance,92,5.3,1129,406881
382,19000000,Action,2228951,The Squeeze,101,4.6,770,-16771049
383,0,Comedy,1744164,Personal Services,105,6.4,1031,1744164
384,5000000,Action,6075793,Assassination,88,5.1,2255,1075793
385,75000,Horror,13133,Creepozoids,72,3.5,1447,-61867
386,0,Crime,1262091,China Girl,90,6.1,1214,1262091
387,12000000,Comedy,5669831,Nadine,83,5.5,3267,-6330169
388,0,Drama,2413427,Dead of Winter,100,6.3,2694,2413427
389,0,Adventure,108154,"No Retreat, No Surrender 2",104,5.1,1209,108154
390,0,Drama,895904,The Glass Menagerie,134,7.2,1699,895904
391,0,Horror,228789,Anguish,86,6.7,2611,228789
392,0,Drama,443524,A Month in the Country,96,7.2,1038,443524
393,1100000,Action,1355728,From a Whisper to a Scream,99,6.0,1489,255728
394,0,Comedy,20419446,Hello Again,96,5.1,2493,20419446
395,0,Drama,1025228,Little Dorrit,357,7.5,886,1025228
396,0,Comedy,460608,Walk Like a Man,86,4.6,1174,460608
397,5000000,Comedy,858250,Tough Guys Don't Dance,110,4.8,1025,-4141750
398,0,Comedy,10348437,Disorderlies,86,4.8,1708,10348437
399,4000000,Drama,743445,"Sister, Sister",91,5.5,695,-3256555
400,0,Comedy,1584970,Making Mr. Right,98,5.3,2101,1584970
401,0,Horror,225132,White of the Eye,100,6.4,1342,225132
402,0,Drama,2189047,Russkies,100,5.6,1126,2189047
403,15000000,Comedy,5711976,Surrender,105,5.4,692,-9288024
404,0,Comedy,1083282,Housekeeping,116,7.3,1596,1083282
405,0,Drama,213901,The Year My Voice Broke,103,7.5,1647,213901
406,0,Crime,187920,Hell High,84,5.0,464,187920
407,0,Drama,949451,A Man in Love,125,5.8,442,949451
408,0,Comedy,9518342,From the Hip,111,6.2,1826,9518342
409,0,Comedy,1025762,Cross My Heart,90,5.7,883,1025762
410,0,Adventure,3390043,Big Shots,94,5.6,654,3390043
